"","type","y2016","y2017","y2018","y2019","y2020","y2021","y2022","y2023","y2024","y2025","y2026","y2027","y2028","y2029","y2030"
"1","admission",21023,21289,20224,18716,17595,17387,17178,16970,16761,16552,16344,16136,15927,15718,15511
"2","total",51403,50593,48851,46037,42123,41551,40979,40407,39835,39262,38691,38119,37546,36974,36404
